LOAN_NUMBER,SAMPLE_DATE,FILE_REQ_DATE,SECOND_REQUEST_DATE,SENT_TO_IMAGING_DATE,LENDER_RESPONSE_DUE_DATE,DATE_LOAN_FINALIZED,LENDER_ID,LENDER_NAME,LENDER_LOAN_ID,PROP_STATE,NEW_CONSTRUCTION_INDICATOR,CONDOMINIUM_INDICATOR,LOAN_ORIG_DATE,CURRENT_BALANCE,FICO_SCORE,LTV,ORIG_VALUE,AVM_VALUE,FIELD_REVIEW_VALUE_SUPPORTED,FIELD_REVIEW_VALUE,PURPOSE_CODE,OCCUPANCY_CODE,LENDER_INST_TYPE_DESCRIPTION,UNDERWRITER_NAME,REVIEW_DATE,REVIEW_STATUS,DEAL_NAME,START_DATE,LOAN_AGE,FICO_BIN,LTV_BIN
19457569,11/22/10,11/25/10,,,,1/24/11,ZMFHQJ,"Wells Fargo Bank, N.A.",26291118,TX,No,No,8/24/10,247050,111,90,275000,,,,P,B,Bank Owned Mortgage Company - National,Mike Willams,1/13/11,4,WFMBS 2006-5,6/1/13,33.24914269,"[0.0, 600.0)","(85.0, 90.0]"
16864087,4/3/12,4/5/12,4/20/12,,,4/24/12,NXYFBZ,"Wells Fargo Bank, N.A.",381247287,IN,No,No,10/26/11,119000,620,85,140000,142226,,,R,B,Bank Owned Mortgage Company - National,Mike Willams,4/23/12,4,WFMBS 2006-AR4,6/1/13,19.1872523,"[600.0, 700.0)","(0.0, 85.0]"
17137579,6/27/12,6/27/12,,7/13/12,,7/20/12,CKZGQU,Cobalt Mortgage Inc,38200028,WA,No,No,4/30/12,315000,629,90,350000,,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,7/20/12,4,WFMBS 2006-AR4,6/1/13,13.04338898,"[600.0, 700.0)","(85.0, 90.0]"
20382551,10/8/12,10/11/12,,10/26/12,,12/10/12,DMYYBZ,McLean Mortgage Corporation,416297794,VA,No,No,7/18/12,303050,636,95,340000,,,,P,B,Mortgage Banker - Bank Owned,Eric Miller,11/30/12,4,WFMBS 2006-5,6/1/13,10.44785314,"[600.0, 700.0)","(90.0, 95.0]"
23078618,10/4/12,10/8/12,,10/22/12,,10/25/12,WIXLJR,LoanCare Servicing Center Inc,6967335,TN,No,No,5/15/12,120000,638,84.51000214,142000,118000,,,X,B,Mortgage Banker - (Large),Mike Willams,10/23/12,4,WFMBS 2006-5,6/1/13,12.55056572,"[600.0, 700.0)","(0.0, 85.0]"
29210456,1/11/13,1/16/13,,2/5/13,,,IGTRZI,Space Coast Credit Union,489771,FL,No,No,12/6/12,130500,638,90,147000,,,,P,B,Credit Unions,,,,SEMT 2012-5,6/1/13,5.815314483,"[600.0, 700.0)","(85.0, 90.0]"
22740336,10/8/12,10/10/12,,10/16/12,,11/9/12,QUUVCY,Willow Bend Mortgage Company,415681006,TX,Yes,No,7/2/12,291950,638,94.98000336,312000,,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,10/26/12,4,WFMBS 2006-AR4,6/1/13,10.97353128,"[600.0, 700.0)","(90.0, 95.0]"
25371753,7/3/12,7/9/12,7/24/12,,,8/1/12,UIYXMB,"Wells Fargo Bank, N.A.",408761666,MA,No,No,11/18/11,388800,643,90,435000,404000,,,P,B,Bank Owned Mortgage Company - National,Mike Willams,8/1/12,4,WFMBS 2006-5,6/1/13,18.43158997,"[600.0, 700.0)","(85.0, 90.0]"
32825998,10/8/12,10/10/12,10/25/12,11/2/12,,1/10/13,BJKKUG,Bank of Utah,46120432,UT,No,No,8/16/12,265500,645,90,295000,274612,,,R,B,Community Banks,Allie Martin,12/12/12,4,WFMBS 2006-5,6/1/13,9.4950615,"[600.0, 700.0)","(85.0, 90.0]"
17654733,10/8/12,10/10/12,,10/19/12,,11/8/12,TRYNOF,Advancial Federal Credit Union,3262466,LA,No,No,9/8/12,194750,647,95,205000,,,,P,B,Credit Unions,Allie Martin,11/8/12,4,WFMBS 2006-5,6/1/13,8.739399166,"[600.0, 700.0)","(90.0, 95.0]"
26851834,3/15/12,3/19/12,,4/4/12,6/12/12,6/5/12,OQIGIK,Amarillo National Bank,8006046686,TX,No,No,2/15/12,94700,650,82.70999908,114500,,,,R,B,Community Banks,Allie Martin,5/15/12,4,WFMBS 2006-AR4,6/1/13,15.50750529,"[600.0, 700.0)","(0.0, 85.0]"
27520805,1/11/13,1/16/13,,,,,DCSDJJ,Sunstreet Mortgage LLC,431642537,AZ,No,No,10/19/12,134100,652,90,149000,,,,P,B,Mortgage Banker - Bank Owned,,,,WFMBS 2006-5,6/1/13,7.392348919,"[600.0, 700.0)","(85.0, 90.0]"
16992201,7/11/12,7/12/12,8/3/12,8/22/12,,10/2/12,MQQAKE,Grow Financial Federal Credit Union,33073537,FL,No,No,6/25/12,59400,654,90,66000,,,,P,B,Credit Unions,Steve Winston,9/28/12,4,WFMBS 2006-5,6/1/13,11.20351547,"[600.0, 700.0)","(85.0, 90.0]"
33532399,7/11/12,7/12/12,8/3/12,8/10/12,10/12/12,10/31/12,IJCSSZ,GTE Federal Credit Union,37282498,FL,No,No,4/2/12,112500,655,83.33000183,135000,,,,X,B,Credit Unions,Steve Winston,10/2/12,4,WFMBS 2006-5,6/1/13,13.96332574,"[600.0, 700.0)","(0.0, 85.0]"
23108273,10/8/12,10/11/12,,10/24/12,,12/13/12,NMGTJR,MassMutual Federal Credit Union,W-113064,CT,No,No,8/6/12,315000,655,94.02999878,336000,,,,P,B,Credit Unions,Rob Jacobs,11/14/12,4,SEMT 2012-5,6/1/13,9.823610341,"[600.0, 700.0)","(90.0, 95.0]"
27044888,5/2/12,5/24/12,6/15/12,,,6/25/12,FSXMUU,Dovenmuehle Mortgage Inc,1425610373,CO,No,No,10/14/11,388835,655,95,412000,431860,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,6/25/12,4,WFMBS 2006-AR4,6/1/13,19.58151091,"[600.0, 700.0)","(90.0, 95.0]"
29901595,6/27/12,6/27/12,7/19/12,7/25/12,,8/28/12,RBFKCN,Mortgage Center LLC,410-0110017484,MI,No,No,3/13/12,77100,656,91.79000092,84000,,,,R,B,Credit Unions,Steve Winston,8/27/12,4,WFMBS 2006-AR4,6/1/13,14.62042342,"[600.0, 700.0)","(90.0, 95.0]"
15742236,12/20/11,12/22/11,1/24/12,2/8/12,,3/19/12,XYSWWN,Primary Residential Mortgage Inc,404101992,CA,No,No,10/13/11,352800,658,90,393000,329591,,,P,B,Mortgage Banker - (Large),Allie Martin,3/12/12,4,SEMT 2012-1,6/1/13,19.6143658,"[600.0, 700.0)","(85.0, 90.0]"
23636369,9/22/11,9/22/11,,,,10/18/11,DXVLFQ,RPM MORTGAGE INC,603233686,CA,No,No,9/8/11,297000,660,90,330000,,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,9/28/11,4,SEMT 2012-5,6/1/13,20.76428674,"[600.0, 700.0)","(85.0, 90.0]"
33596151,3/15/12,3/19/12,,4/10/12,,5/15/12,VKQQAB,Credit Union Mortgage Association,24173,VA,No,No,12/2/11,306000,661,91.33999634,335000,,,,R,B,Credit Unions,Mike Willams,5/15/12,4,WFMBS 2006-AR4,6/1/13,17.97162159,"[600.0, 700.0)","(90.0, 95.0]"
15791748,11/3/11,11/8/11,,11/15/11,2/3/12,2/17/12,BPTFRD,Allied Home Mortgage Corp,18335430,AR,No,No,8/31/11,99000,663,89.19000244,111000,98114,,,R,B,Mortgage Banker - (Large),Mike Willams,12/14/11,4,WFMBS 2006-5,6/1/13,21.02712581,"[600.0, 700.0)","(85.0, 90.0]"
33538134,10/8/12,10/11/12,11/12/12,11/21/12,,1/16/13,BBJDWM,Key Mortgage Services Inc,2012-02604,IL,No,Yes,9/20/12,76500,663,90,85000,,,,P,B,Mortgage Banker - Bank Owned,Eric Miller,1/16/13,4,WFMBS 2006-AR4,6/1/13,8.345140557,"[600.0, 700.0)","(85.0, 90.0]"
20893302,10/1/12,10/4/12,,10/25/12,,12/13/12,BMMNFT,Discover Home Loans Inc,7300717,GA,No,No,8/7/12,222700,664,89.08000183,250000,230404,,,R,B,Mortgage Banker - Bank Owned,Steve Winston,11/29/12,4,SEMT 2012-1,6/1/13,9.790755457,"[600.0, 700.0)","(85.0, 90.0]"
24013088,6/1/10,8/16/10,,,,9/30/10,XQOJZA,Imortgage.Com Inc,640159485,CO,No,No,6/10/09,294640,664,90,,,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,9/30/10,4,SEMT 2012-1,6/1/13,47.70529169,"[600.0, 700.0)","(85.0, 90.0]"
20571815,7/11/12,7/12/12,,7/25/12,,8/30/12,QIBHEX,InterLinc Mortgage Inc,412528424,KS,No,No,3/30/12,90924,664,95,101000,,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,8/20/12,4,SEMT 2012-5,6/1/13,14.06189039,"[600.0, 700.0)","(90.0, 95.0]"
16995544,10/1/12,10/5/12,10/22/12,10/23/12,,11/13/12,VPOOBT,Hallmark Home Mortgage LLC,603342380,IN,No,No,6/21/12,188685,665,90,210000,,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,11/12/12,4,SEMT 2012-5,6/1/13,11.33493501,"[600.0, 700.0)","(85.0, 90.0]"
29473249,10/1/12,10/4/12,,10/25/12,,12/13/12,BLLMEC,Discover Home Loans Inc,7300258,MD,No,Yes,7/13/12,146300,665,95,154000,,,,P,B,Mortgage Banker - Bank Owned,Steve Winston,11/28/12,4,WFMBS 2006-AR4,6/1/13,10.61212756,"[600.0, 700.0)","(90.0, 95.0]"
16678081,7/11/12,7/12/12,,7/30/12,,8/1/12,CNEUVN,Franklin American Mortgage Company,38936050,MA,No,No,5/17/12,152000,665,95,165000,,,,P,B,Mortgage Banker - (Large),Steve Winston,7/25/12,4,SEMT 2012-5,6/1/13,12.48485595,"[600.0, 700.0)","(90.0, 95.0]"
28067291,11/5/12,11/7/12,,11/29/12,,,VTVEBK,JPMorgan Chase Bank NA,1157561240,TX,Yes,No,1/9/12,336286,665,95,403000,386509,,,P,B,Bank Owned Mortgage Company - National,Mike Willams,1/10/13,1,WFMBS 2006-AR4,6/1/13,16.723136,"[600.0, 700.0)","(90.0, 95.0]"
21677866,12/20/11,1/3/12,,1/25/12,,2/24/12,BXMYAK,First Niagara Bank NA,20070443,PA,No,No,11/23/11,140000,666,84.08000183,166500,,,,R,B,Mortgage Banker - Bank Owned,Mike Willams,2/24/12,4,WFMBS 2006-AR4,6/1/13,18.26731555,"[600.0, 700.0)","(0.0, 85.0]"
32244875,12/10/12,12/11/12,,12/13/12,,1/21/13,ZNUSNG,Wright Patt Credit Union,40364267,KY,No,No,10/30/12,81000,666,87.44000244,94000,,,,R,B,Credit Unions,Steve Winston,1/18/13,4,WFMBS 2006-AR4,6/1/13,7.030945194,"[600.0, 700.0)","(85.0, 90.0]"
